Title,Showrunner or Creator,Type,Notes
Fringe,"J. J. Abrams, Alex Kurtzman, Roberto Orci",Recommended,science weird
Devs,Alex Garland,Recommended,determinism
Maniac,"Patrick Somerville, Cary Fukunaga",Recommended,surreal therapy
Tales from the Loop,Nathaniel Halpern,Recommended,poetic sci fi
Person of Interest,Jonathan Nolan,Recommended,"surveillance, AI"
Love Death and Robots,"Tim Miller, David Fincher",Recommended,animated shorts
Orphan Black,"Graeme Manson, John Fawcett",Recommended,"identity, clones"
The Handmaid’s Tale,Bruce Miller,Recommended,"power, resistance"
Utopia UK,Dennis Kelly,Recommended,"conspiracy, style"
The Night Manager,David Farr,Recommended,"espionage, glamour"
When They See Us,Ava DuVernay,Recommended,"justice, system"
Unbelievable,"Susannah Grant, Ayelet Waldman, Michael Chabon",Recommended,"investigation, belief"
Mare of Easttown,Brad Ingelsby,Recommended,"community, loss"
Sharp Objects,Marti Noxon,Recommended,"trauma, mystery"
The Last Dance,Jason Hehir,Recommended,"documentary, excellence"
OJ Made in America,Ezra Edelman,Recommended,"documentary, America"
Planet Earth II,David Attenborough,Recommended,"documentary, awe"
Our Planet,David Attenborough,Recommended,"documentary, ecology"
Caprica,Ronald D. Moore,Recommended,"prequel, AI"
Homeland,"Howard Gordon, Alex Gansa",Recommended,"intelligence, trust"
The Good Fight,"Robert King, Michelle King",Recommended,"law, politics"
The Deuce,"David Simon, George Pelecanos",Recommended,"systems, vice"
Show Me a Hero,"David Simon, Paul Haggis",Recommended,"housing, politics"
Industry,"Mickey Down, Konrad Kay",Recommended,"finance, youth"
Billions,"Brian Koppelman, David Levien",Recommended,"power, finance"
The Peripheral,Scott Smith,Recommended,future systems
Top of the Lake,Jane Campion,Recommended,"mystery, landscape"
True Detective S3,Nic Pizzolatto,Recommended,"memory, case"
The Looming Tower,Dan Futterman,Recommended,intelligence history
Station Eleven,Patrick Somerville,Recommended,"art, survival"
The Americans S2,Joe Weisberg,Recommended,deepening arcs
Fargo S2,Noah Hawley,Recommended,American myth
Black Mirror San Junipero,Charlie Brooker,Recommended,episode highlight
Better Call Saul S5,"Vince Gilligan, Peter Gould",Recommended,craft peak
The Dropout,Elizabeth Meriwether,Recommended,startup myth
Dopesick,Danny Strong,Recommended,opioid crisis
The Patient,"Joel Fields, Joe Weisberg",Recommended,"therapy, captivity"
